City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Hermanus,ZA,2021-12-25 06:08:07,-34.4187,19.2345,68.9,79,100,15.99
112,Sorrento,IT,2021-12-25 06:08:07,40.626,14.3744,57.25,89,100,7.0
113,Boguchany,RU,2021-12-25 06:08:07,58.3814,97.4531,-3.86,85,87,1.1
114,Tigil,RU,2021-12-25 06:08:08,57.8,158.6667,-8.41,100,81,1.61
115,Buraydah,SA,2021-12-25 06:08:08,26.326,43.975,56.93,42,100,15.48
116,Marawi,PH,2021-12-25 06:08:08,7.9986,124.2928,74.64,84,83,5.7
117,Sao Filipe,CV,2021-12-25 06:08:09,14.8961,-24.4956,74.91,67,88,8.1
118,Puerto Ayora,EC,2021-12-25 06:08:09,-0.7393,-90.3518,69.3,93,51,5.97
119,Gornorechenskiy,RU,2021-12-25 06:08:09,44.2624,135.1133,-11.61,66,59,17.9
120,Faro,PT,2021-12-25 06:08:09,37.0194,-7.9322,60.58,88,75,17.27
121,Neuquen,AR,2021-12-25 06:03:15,-38.9516,-68.0591,75.22,19,0,1.59
122,Vao,NC,2021-12-25 06:08:10,-22.6667,167.4833,78.84,77,0,10.6
123,Aklavik,CA,2021-12-25 06:08:10,68.2191,-135.0107,-12.28,94,100,6.51
124,Chuy,UY,2021-12-25 06:08:11,-33.6971,-53.4616,65.35,86,64,10.76
125,Isangel,VU,2021-12-25 06:07:47,-19.55,169.2667,86.11,74,40,2.3
126,Carnarvon,AU,2021-12-25 06:01:47,-24.8667,113.6333,88.39,58,0,23.02
127,Skerries,IE,2021-12-25 06:08:11,53.5828,-6.1083,49.1,86,87,24.27
128,Santa Cruz,BO,2021-12-25 06:08:11,-17.8,-63.1667,74.66,94,75,3.44
129,Svetlogorsk,BY,2021-12-25 06:08:12,52.6333,29.7333,20.73,72,93,11.48
130,Cabo San Lucas,MX,2021-12-25 06:07:13,22.8909,-109.9124,70.52,68,97,9.44
131,Nantucket,US,2021-12-25 06:01:53,41.2835,-70.0995,35.71,86,90,6.91
132,San Patricio,US,2021-12-25 06:08:12,28.017,-97.5169,71.69,85,17,14.88
133,Anadyr,RU,2021-12-25 06:08:13,64.75,177.4833,6.49,84,100,10.42
134,Merei,RO,2021-12-25 06:08:13,45.1333,26.6833,48.11,84,87,5.75
135,Mahebourg,MU,2021-12-25 06:08:13,-20.4081,57.7,84.25,69,99,4.21
136,Hamilton,US,2021-12-25 06:06:34,39.1834,-84.5333,63.81,75,90,5.01
137,Pemangkat,ID,2021-12-25 06:09:14,1.1667,108.9667,83.75,74,54,10.27
138,Kodiak,US,2021-12-25 06:09:14,57.79,-152.4072,37.53,73,100,2.68
139,Cuajinicuilapa,MX,2021-12-25 06:09:14,16.4667,-98.4167,74.41,86,19,2.35
140,Havelock,US,2021-12-25 06:09:15,34.8791,-76.9013,60.75,85,1,8.99
141,Mar Del Plata,AR,2021-12-25 06:04:35,-38.0023,-57.5575,67.08,94,13,1.01
142,Faanui,PF,2021-12-25 06:09:15,-16.4833,-151.75,81.91,76,48,14.34
143,Teknaf,BD,2021-12-25 06:09:16,20.8624,92.3058,75.16,51,0,4.61
144,Ixtapa,MX,2021-12-25 06:05:54,20.7,-105.2,70.23,88,0,3.0
145,Barcelos,PT,2021-12-25 06:04:40,41.5388,-8.6151,53.28,94,100,7.7
146,Taoudenni,ML,2021-12-25 06:09:16,22.6783,-3.9836,63.41,31,2,8.08
147,Kaitangata,NZ,2021-12-25 06:08:23,-46.2817,169.8464,62.92,81,9,11.41
148,Jambi,ID,2021-12-25 06:07:51,-1.6,103.6167,84.09,77,99,5.26
149,Visby,SE,2021-12-25 06:09:17,57.6409,18.296,25.02,74,75,18.41
150,Ambanja,MG,2021-12-25 06:09:17,-13.6833,48.45,85.87,71,78,2.26
151,Khatanga,RU,2021-12-25 06:09:17,71.9667,102.5,-22.74,94,20,7.74
152,Ponta Do Sol,PT,2021-12-25 06:09:18,32.6667,-17.1,69.01,92,100,15.12
153,Cururupu,BR,2021-12-25 06:07:08,-1.8283,-44.8683,75.51,93,95,2.44
154,Hailar,CN,2021-12-25 06:09:18,49.2,119.7,-8.5,74,79,5.21
155,Denpasar,ID,2021-12-25 06:07:24,-8.65,115.2167,87.46,74,40,12.66
156,Kununurra,AU,2021-12-25 06:09:18,-15.7667,128.7333,93.18,46,75,10.36
157,Machilipatnam,IN,2021-12-25 06:09:19,16.1667,81.1333,80.8,59,3,3.38
158,Chokurdakh,RU,2021-12-25 06:01:56,70.6333,147.9167,-33.2,100,100,8.97
159,Norman Wells,CA,2021-12-25 06:09:19,65.282,-126.8329,-10.5,98,100,3.22
160,Pamanukan,ID,2021-12-25 06:09:20,-6.2842,107.8106,84.33,74,97,10.42
161,Saskylakh,RU,2021-12-25 06:09:20,71.9167,114.0833,-40.45,100,45,2.8
162,Zaysan,KZ,2021-12-25 06:09:20,47.4667,84.8667,23.86,81,15,3.22
