City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Sao Jose Da Coroa Grande,BR,78.58,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
302,Porto Nacional,BR,77.0,moderate rain,-10.7081,-48.4172,Vila Real Hotel
304,Kavieng,PG,84.09,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
305,Kokopo,PG,81.82,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
307,Panubigan,PH,81.36,overcast clouds,7.4281,123.3466,Parish Beach
309,Tahoua,NE,71.58,clear sky,14.8888,5.2692,Bungalows Guesthouse
314,Tabou,CI,81.99,overcast clouds,4.423,-7.3528,hotêl doufoulougou
315,Puerto Carreno,CO,76.46,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
316,Maumere,ID,82.15,light rain,-8.6199,122.2111,Sylvia Hotel
317,Pangai,TO,80.47,clear sky,-19.8,-174.35,Ha'apai Beach Resort
322,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Fórum
323,Kaniama,CD,77.38,light rain,-7.5667,24.1833,
326,Bonthe,SL,80.24,clear sky,7.5264,-12.505,Bonthe Holiday Village
327,Zhuhai,CN,71.85,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
328,Kourou,GF,75.25,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
329,Omboue,GA,83.37,scattered clouds,-1.5746,9.2618,Hotel Olako
334,Puerto Maldonado,PE,72.05,broken clouds,-12.6,-69.1833,Wasai Hotel
339,Nagua,DO,75.45,scattered clouds,19.3832,-69.8474,Hotel Cambri
342,Kidal,ML,71.06,broken clouds,18.4411,1.4078,
343,Bambous Virieux,MU,89.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
346,Martapura,ID,86.09,moderate rain,-3.4167,114.85,Montana Hotel Syariah
347,Souillac,MU,89.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
349,Mackay,AU,82.38,overcast clouds,-21.15,149.2,International Lodge Motel
350,Ocho Rios,JM,76.75,broken clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
353,Samarai,PG,83.52,few clouds,-10.6167,150.6667,Nuli Sapi
354,Riohacha,CO,74.23,scattered clouds,11.5444,-72.9072,Hotel Taroa
357,Yendi,GH,85.95,broken clouds,9.4427,-0.0099,Eyarro Lodge
360,Iacu,BR,71.33,moderate rain,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
362,Broken Hill,AU,89.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
366,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
368,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
369,Thanh Hoa,VN,73.11,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
370,Ambon,ID,82.78,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
372,Senador Guiomard,BR,74.95,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
378,Dubbo,AU,82.53,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
379,Ghanzi,BW,89.08,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
380,Kharan,PK,72.48,overcast clouds,28.5833,65.4167,Dil Aram Bangla
387,Moyale,KE,80.33,overcast clouds,3.5167,39.0584,La Tahzan Guest House
389,Chiredzi,ZW,85.41,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
390,Tezu,IN,72.66,broken clouds,27.9167,96.1667,Circuit House
391,Bowen,AU,82.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
393,Maragogi,BR,78.04,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
394,Guarapari,BR,71.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
398,Mecca,SA,74.37,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
400,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
404,Flinders,AU,78.19,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
407,Kinkala,CG,77.31,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
411,Owando,CG,85.37,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
412,Kiunga,PG,78.48,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
414,Murray Bridge,AU,74.7,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
416,Ilheus,BR,71.85,light rain,-14.7889,-39.0494,Barravento Hotel
418,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
420,Port Macquarie,AU,76.96,few clouds,-31.4333,152.9167,Rydges Port Macquarie
422,Springbok,ZA,72.91,clear sky,-29.6643,17.8865,Undulata Country Lodge
423,Champerico,GT,81.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
427,Karratha,AU,87.21,light rain,-20.7377,116.8463,ibis Styles Karratha
