City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Rocha,UY,-34.4833,-54.3333,65.62,78,100,11.16,overcast clouds
140,Constitucion,CL,-35.3333,-72.4167,58.71,63,100,5.61,overcast clouds
141,Oussouye,SN,12.485,-16.5469,71.78,46,100,6.38,overcast clouds
142,Deputatskiy,RU,69.3,139.9,-38.47,99,38,5.61,scattered clouds
143,Hamilton,US,39.1834,-84.5333,65.25,75,90,1.99,overcast clouds
144,Eureka,US,40.8021,-124.1637,45.57,93,100,5.01,overcast clouds
145,Qasigiannguit,GL,68.8193,-51.1922,21.45,70,3,4.92,clear sky
146,Fortuna,US,40.5982,-124.1573,45.32,96,90,5.99,overcast clouds
147,Port Elizabeth,ZA,-33.918,25.5701,75.09,73,75,6.91,broken clouds
148,Iraray,PH,8.9936,118.0511,81.93,78,100,10.65,overcast clouds
149,Tiarei,PF,-17.5333,-149.3333,80.62,74,30,14.14,scattered clouds
150,Tupik,RU,54.4253,119.9327,-20.4,95,56,2.84,broken clouds
151,Mahebourg,MU,-20.4081,57.7,89.89,51,75,13.8,broken clouds
152,Nanortalik,GL,60.1432,-45.2371,32.99,72,100,11.74,overcast clouds
153,Tiksi,RU,71.6872,128.8694,-13.63,98,100,3.4,overcast clouds
154,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,25.07,96,100,1.97,overcast clouds
155,Sal Rei,CV,16.1833,-22.9167,71.8,83,0,2.3,clear sky
156,Avarua,CK,-21.2078,-159.775,78.85,94,75,6.91,light rain
157,Kiruna,SE,67.8557,20.2251,11.32,79,98,6.91,overcast clouds
158,Lar,IN,26.2039,83.9717,76.32,28,0,3.47,clear sky
159,Husavik,IS,66.0449,-17.3389,12.11,78,87,6.71,overcast clouds
160,Jackson,US,42.4165,-122.8345,35.47,94,90,6.91,moderate rain
161,Namatanai,PG,-3.6667,152.4333,81.36,82,92,7.72,light rain
162,Ponta Do Sol,PT,32.6667,-17.1,67.01,93,100,14.03,overcast clouds
163,Sinnamary,GF,5.3833,-52.95,76.33,90,98,7.25,overcast clouds
164,Provideniya,RU,64.3833,-173.3,13.53,94,100,17.02,light snow
165,Dormidontovka,RU,47.7702,134.9076,-19.44,97,100,4.21,overcast clouds
166,Yellowknife,CA,62.456,-114.3525,-21.48,76,75,10.36,broken clouds
167,Chalon-Sur-Saone,FR,46.7833,4.85,47.44,90,100,2.48,overcast clouds
168,Vaitape,PF,-16.5167,-151.75,81.68,73,22,16.08,few clouds
169,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,13.8,overcast clouds
170,Vila Velha,BR,-20.3297,-40.2925,71.94,82,0,5.01,clear sky
171,Iturama,BR,-19.7281,-50.1956,63.99,81,0,7.45,clear sky
